Width,Length,T,VD,VG,VS,VB,ID
10,10,25,0,0.5,0,0,0.000000E+00
10,10,25,0.05,0.5,0,0,2.087835E-09
10,10,25,0.1,0.5,0,0,2.356499E-09
10,10,25,0.15,0.5,0,0,2.477160E-09
10,10,25,0.2,0.5,0,0,2.581367E-09
10,10,25,0.25,0.5,0,0,2.681857E-09
10,10,25,0.3,0.5,0,0,2.781137E-09
10,10,25,0.35,0.5,0,0,2.879940E-09
10,10,25,0.4,0.5,0,0,2.978534E-09
10,10,25,0.45,0.5,0,0,3.077037E-09
10,10,25,0.5,0.5,0,0,3.175504E-09
10,10,25,0.55,0.5,0,0,3.273964E-09
10,10,25,0.6,0.5,0,0,3.372431E-09
10,10,25,0.65,0.5,0,0,3.470914E-09
10,10,25,0.7,0.5,0,0,3.569418E-09
10,10,25,0.75,0.5,0,0,3.667946E-09
10,10,25,0.8,0.5,0,0,3.766497E-09
10,10,25,0.85,0.5,0,0,3.865073E-09
10,10,25,0.9,0.5,0,0,3.963674E-09
10,10,25,0.95,0.5,0,0,4.062298E-09
10,10,25,1,0.5,0,0,4.160944E-09
10,10,25,0,1,0,0,0.000000E+00
10,10,25,0.05,1,0,0,5.503866E-06
10,10,25,0.1,1,0,0,9.785532E-06
10,10,25,0.15,1,0,0,1.286978E-05
10,10,25,0.2,1,0,0,1.482349E-05
10,10,25,0.25,1,0,0,1.583799E-05
10,10,25,0.3,1,0,0,1.628572E-05
10,10,25,0.35,1,0,0,1.651116E-05
10,10,25,0.4,1,0,0,1.666732E-05
10,10,25,0.45,1,0,0,1.680070E-05
10,10,25,0.5,1,0,0,1.692536E-05
10,10,25,0.55,1,0,0,1.704614E-05
10,10,25,0.6,1,0,0,1.716499E-05
10,10,25,0.65,1,0,0,1.728277E-05
10,10,25,0.7,1,0,0,1.739991E-05
10,10,25,0.75,1,0,0,1.751664E-05
10,10,25,0.8,1,0,0,1.763308E-05
10,10,25,0.85,1,0,0,1.774932E-05
10,10,25,0.9,1,0,0,1.786539E-05
10,10,25,0.95,1,0,0,1.798133E-05
10,10,25,1,1,0,0,1.809716E-05
